id,reaction,rheaID,reducing_agent,substrates,products,participants,chebis
A0R4Q6,cholest-4-en-3-one + 5 H(+) + 3 O2 + 6 reduced [2Fe-2S]-[ferredoxin] = (25R)-3-oxocholest-4-en-26-oate + 4 H2O + 6 oxidized [2Fe-2S]-[ferredoxin],RHEA:49996,6 reduced [2Fe-2S]-[ferredoxin],['cholest-4-en-3-one'],['(25R)-3-oxocholest-4-en-26-oate'],"['cholest-4-en-3-one', '5 H(+)', '3 O2', '6 reduced [2Fe-2S]-[ferredoxin]', '(25R)-3-oxocholest-4-en-26-oate', '4 H2O', '6 oxidized [2Fe-2S]-[ferredoxin]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:16175', 'CHEBI:33737', 'CHEBI:33738', 'CHEBI:71570']"
A0R4Y3,cholest-4-en-3-one + 5 H(+) + 3 O2 + 6 reduced [2Fe-2S]-[ferredoxin] = (25S)-3-oxocholest-4-en-26-oate + 4 H2O + 6 oxidized [2Fe-2S]-[ferredoxin],RHEA:51564,6 reduced [2Fe-2S]-[ferredoxin],['cholest-4-en-3-one'],['(25S)-3-oxocholest-4-en-26-oate'],"['cholest-4-en-3-one', '5 H(+)', '3 O2', '6 reduced [2Fe-2S]-[ferredoxin]', '(25S)-3-oxocholest-4-en-26-oate', '4 H2O', '6 oxidized [2Fe-2S]-[ferredoxin]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:16175', 'CHEBI:33737', 'CHEBI:33738', 'CHEBI:71541']"
A2A974,an organic molecule + O2 + reduced [NADPH--hemoprotein reductase] = an alcohol + H(+) + H2O + oxidized [NADPH--hemoprotein reductase],RHEA:17149,reduced [NADPH--hemoprotein reductase],['an organic molecule'],['an alcohol'],"['an organic molecule', 'O2', 'reduced [NADPH--hemoprotein reductase]', 'an alcohol', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:30879', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:142491']"
A2A974,dodecanoate + O2 + reduced [NADPH--hemoprotein reductase] = 11-hydroxydodecanoate + H(+) + H2O + oxidized [NADPH--hemoprotein reductase],RHEA:39751,reduced [NADPH--hemoprotein reductase],['dodecanoate'],['11-hydroxydodecanoate'],"['dodecanoate', 'O2', 'reduced [NADPH--hemoprotein reductase]', '11-hydroxydodecanoate', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:18262', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:76628']"
A2A974,dodecanoate + O2 + reduced [NADPH--hemoprotein reductase] = 12-hydroxydodecanoate + H(+) + H2O + oxidized [NADPH--hemoprotein reductase],RHEA:38947,reduced [NADPH--hemoprotein reductase],['dodecanoate'],['12-hydroxydodecanoate'],"['dodecanoate', 'O2', 'reduced [NADPH--hemoprotein reductase]', '12-hydroxydodecanoate', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:18262', 'CHEBI:36204', 'CHEBI:57618', 'CHEBI:58210']"
A2A974,"(5Z,8Z,11Z,14Z)-eicosatetraenoate + O2 + reduced [NADPH--hemoprotein reductase] = 18-hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]",RHEA:39811,reduced [NADPH--hemoprotein reductase],"['(5Z,8Z,11Z,14Z)-eicosatetraenoate']","['18-hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate']","['(5Z,8Z,11Z,14Z)-eicosatetraenoate', 'O2', 'reduced [NADPH--hemoprotein reductase]', '18-hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:32395', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:63590']"
A2A974,"(5Z,8Z,11Z,14Z)-eicosatetraenoate + O2 + reduced [NADPH--hemoprotein reductase] = 19-hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]",RHEA:39759,reduced [NADPH--hemoprotein reductase],"['(5Z,8Z,11Z,14Z)-eicosatetraenoate']","['19-hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate']","['(5Z,8Z,11Z,14Z)-eicosatetraenoate', 'O2', 'reduced [NADPH--hemoprotein reductase]', '19-hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:32395', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:76627']"
A2A974,"(5Z,8Z,11Z,14Z)-eicosatetraenoate + O2 + reduced [NADPH--hemoprotein reductase] = 20-hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]",RHEA:39755,reduced [NADPH--hemoprotein reductase],"['(5Z,8Z,11Z,14Z)-eicosatetraenoate']","['20-hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate']","['(5Z,8Z,11Z,14Z)-eicosatetraenoate', 'O2', 'reduced [NADPH--hemoprotein reductase]', '20-hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:32395', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:76624']"
A2A974,"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate + O2 + reduced [NADPH--hemoprotein reductase] = 19-hydroxy-(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]",RHEA:39787,reduced [NADPH--hemoprotein reductase],"['(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate']","['19-hydroxy-(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate']","['(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate', 'O2', 'reduced [NADPH--hemoprotein reductase]', '19-hydroxy-(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:58562', 'CHEBI:76636']"
A2A974,"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate + O2 + reduced [NADPH--hemoprotein reductase] = 20-hydroxy-(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]",RHEA:39791,reduced [NADPH--hemoprotein reductase],"['(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate']","['20-hydroxy-(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate']","['(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate', 'O2', 'reduced [NADPH--hemoprotein reductase]', '20-hydroxy-(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:58562', 'CHEBI:76639']"
A2A974,"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate + O2 + reduced [NADPH--hemoprotein reductase] = (17S,18R)-epoxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]",RHEA:39783,reduced [NADPH--hemoprotein reductase],"['(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate']","['(17S,18R)-epoxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate']","['(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate', 'O2', 'reduced [NADPH--hemoprotein reductase]', '(17S,18R)-epoxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:58562', 'CHEBI:76635']"
A2A974,"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate + O2 + reduced [NADPH--hemoprotein reductase] = (17R,18S)-epoxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]",RHEA:39779,reduced [NADPH--hemoprotein reductase],"['(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate']","['(17R,18S)-epoxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate']","['(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate', 'O2', 'reduced [NADPH--hemoprotein reductase]', '(17R,18S)-epoxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:58562', 'CHEBI:76634']"
